시점,월별,시도별,사고건수,사망자수,부상자수
2006,12월,경기,3471,116,5824
2006,12월,강원,668,26,1100
2006,12월,충북,659,24,1108
2006,12월,충남,648,52,1068
2006,12월,전북,858,40,1466
2006,12월,전남,835,55,1385
2006,12월,경북,1432,75,2119
2006,12월,경남,1058,58,1582
2006,12월,제주,272,8,418
2007,전체,서울,39410,452,57517
2007,전체,부산,10136,264,15078
2007,전체,대구,13561,207,19896
2007,전체,인천,10483,172,16305
2007,전체,광주,7913,157,12794
2007,전체,대전,5415,143,8664
2007,전체,울산,4673,108,7239
2007,전체,경기,41527,1218,69395
2007,전체,강원,8860,339,15918
2007,전체,충북,7991,286,13176
2007,전체,충남,8618,541,14845
2007,전체,전북,9765,391,16643
2007,전체,전남,10528,534,17857
2007,전체,경북,16201,738,25027
2007,전체,경남,13445,516,20783
2007,전체,제주,3136,100,4769
2007,1월,서울,2695,30,4062
2007,1월,부산,810,24,1198
2007,1월,대구,989,29,1437
2007,1월,인천,821,26,1282
2007,1월,광주,571,15,918
2007,1월,대전,411,12,643
2007,1월,울산,311,10,471
2007,1월,경기,2909,92,4882
2007,1월,강원,585,18,1106
2007,1월,충북,532,19,901
2007,1월,충남,583,37,1030
2007,1월,전북,675,32,1153
2007,1월,전남,751,46,1302
2007,1월,경북,1098,36,1793
2007,1월,경남,940,32,1437
2007,1월,제주,233,10,360
2007,2월,서울,2602,30,3874
2007,2월,부산,957,23,1416
2007,2월,대구,971,17,1419
2007,2월,인천,705,10,1134
2007,2월,광주,549,7,901
2007,2월,대전,357,13,583
2007,2월,울산,326,5,575
2007,2월,경기,2715,85,4644
2007,2월,강원,571,29,1078
2007,2월,충북,524,22,879
2007,2월,충남,566,45,1052
2007,2월,전북,707,24,1221
2007,2월,전남,775,40,1253
2007,2월,경북,1176,53,1858
2007,2월,경남,968,32,1495
2007,2월,제주,227,11,335
2007,3월,서울,3404,32,5128
2007,3월,부산,1018,22,1478
2007,3월,대구,1195,19,1753
2007,3월,인천,892,10,1398
2007,3월,광주,704,14,1141
2007,3월,대전,453,10,753
2007,3월,울산,398,11,594
2007,3월,경기,3639,85,6039
2007,3월,강원,688,27,1193
2007,3월,충북,615,17,1019
2007,3월,충남,702,32,1214
2007,3월,전북,806,30,1446
2007,3월,전남,841,39,1413
2007,3월,경북,1311,71,1930
2007,3월,경남,1257,51,1961
2007,3월,제주,243,6,351
2007,4월,서울,3310,37,4802
2007,4월,부산,832,12,1188
2007,4월,대구,1155,8,1688
2007,4월,인천,898,19,1390
2007,4월,광주,697,14,1152
2007,4월,대전,492,12,826
2007,4월,울산,358,7,542
2007,4월,경기,3728,102,6183
2007,4월,강원,695,19,1235
2007,4월,충북,658,21,1044
2007,4월,충남,733,55,1404
2007,4월,전북,818,20,1329
2007,4월,전남,914,42,1526
2007,4월,경북,1353,50,2040
2007,4월,경남,1152,38,1773
2007,4월,제주,262,4,433
2007,5월,서울,3469,30,5062
2007,5월,부산,916,17,1374
2007,5월,대구,1278,18,1949
2007,5월,인천,995,17,1535
2007,5월,광주,697,13,1160
2007,5월,대전,497,11,805
2007,5월,울산,401,12,587
2007,5월,경기,3809,99,6521
2007,5월,강원,772,18,1238
2007,5월,충북,797,19,1333
2007,5월,충남,830,58,1328
2007,5월,전북,897,34,1447
2007,5월,전남,947,50,1643
2007,5월,경북,1519,79,2341
2007,5월,경남,1185,37,1862
2007,5월,제주,255,4,347
2007,6월,서울,3492,47,4962
2007,6월,부산,881,20,1320
2007,6월,대구,1181,20,1671
2007,6월,인천,892,18,1355
2007,6월,광주,653,14,1082
2007,6월,대전,427,15,632
2007,6월,울산,442,11,734
2007,6월,경기,3663,127,6024
2007,6월,강원,770,27,1322
2007,6월,충북,644,18,1067
2007,6월,충남,711,42,1212
2007,6월,전북,872,29,1489
2007,6월,전남,863,46,1474
2007,6월,경북,1382,59,2090
2007,6월,경남,1139,29,1742
2007,6월,제주,298,16,486
2007,7월,서울,3428,50,4978
2007,7월,부산,834,18,1287
2007,7월,대구,1173,15,1725
2007,7월,인천,958,10,1461
2007,7월,광주,667,10,1048
2007,7월,대전,461,14,733
2007,7월,울산,430,6,690
2007,7월,경기,3502,107,5912
2007,7월,강원,781,35,1444
2007,7월,충북,647,23,1070
2007,7월,충남,675,35,1129
2007,7월,전북,803,34,1355
2007,7월,전남,853,36,1449
2007,7월,경북,1410,62,2196
2007,7월,경남,1149,43,1785
2007,7월,제주,266,5,414
2007,8월,서울,3271,46,4771
2007,8월,부산,782,29,1169
2007,8월,대구,1105,9,1601
2007,8월,인천,847,13,1386
2007,8월,광주,636,10,1046
2007,8월,대전,485,11,809
2007,8월,울산,371,6,580
2007,8월,경기,3506,95,6169
2007,8월,강원,920,31,1849
2007,8월,충북,709,23,1213
2007,8월,충남,751,30,1356
2007,8월,전북,795,30,1461
2007,8월,전남,945,51,1662
2007,8월,경북,1464,66,2360
2007,8월,경남,1116,56,1840
2007,8월,제주,279,6,439
2007,9월,서울,3554,37,5208
2007,9월,부산,817,26,1214
2007,9월,대구,1165,20,1731
2007,9월,인천,858,11,1360
2007,9월,광주,669,13,1031
2007,9월,대전,481,15,799
2007,9월,울산,412,8,641
2007,9월,경기,3663,104,6169
2007,9월,강원,784,29,1396
2007,9월,충북,770,36,1268
2007,9월,충남,762,43,1265
2007,9월,전북,864,38,1516
2007,9월,전남,924,38,1604
2007,9월,경북,1430,63,2253
2007,9월,경남,1104,43,1732
2007,9월,제주,249,8,396
2007,10월,서울,3552,38,5022
2007,10월,부산,778,28,1204
2007,10월,대구,1116,17,1622
2007,10월,인천,926,12,1438
2007,10월,광주,752,14,1202
2007,10월,대전,473,8,740
2007,10월,울산,454,9,672
2007,10월,경기,3664,108,5992
2007,10월,강원,829,38,1497
2007,10월,충북,752,26,1187
2007,10월,충남,842,57,1426
2007,10월,전북,896,37,1591
2007,10월,전남,1018,54,1653
2007,10월,경북,1444,60,2237
2007,10월,경남,1243,62,1861
2007,10월,제주,287,14,458
2007,11월,서울,3333,32,4774
2007,11월,부산,746,17,1113
2007,11월,대구,1098,17,1598
2007,11월,인천,896,16,1392
2007,11월,광주,681,20,1092
2007,11월,대전,446,12,672
2007,11월,울산,388,15,583
2007,11월,경기,3460,98,5661
2007,11월,강원,759,34,1350
2007,11월,충북,717,30,1153
2007,11월,충남,832,61,1355
2007,11월,전북,853,46,1406
2007,11월,전남,853,45,1412
2007,11월,경북,1353,66,2040
2007,11월,경남,1114,46,1665
2007,11월,제주,286,10,408
2007,12월,서울,3300,43,4874
2007,12월,부산,765,28,1117
2007,12월,대구,1135,18,1702
2007,12월,인천,795,10,1174
2007,12월,광주,637,13,1021
2007,12월,대전,432,10,669
2007,12월,울산,382,8,570
2007,12월,경기,3269,116,5199
2007,12월,강원,706,34,1210
2007,12월,충북,626,32,1042
2007,12월,충남,631,46,1074
2007,12월,전북,779,37,1229
2007,12월,전남,844,47,1466
2007,12월,경북,1261,73,1889
2007,12월,경남,1078,47,1630
2007,12월,제주,251,6,342
2008,전체,서울,41702,482,59937
2008,전체,부산,12100,225,17729
2008,전체,대구,13725,222,20109
2008,전체,인천,10624,176,16276
2008,전체,광주,8260,140,13598
2008,전체,대전,5526,112,8755
2008,전체,울산,5195,103,7904
2008,전체,경기,40193,1108,65931
2008,전체,강원,8766,299,15362
2008,전체,충북,8317,313,13964
2008,전체,충남,8568,528,14781
2008,전체,전북,9632,386,15983
2008,전체,전남,10443,483,18012
2008,전체,경북,15454,646,24105
2008,전체,경남,14135,551,21724
2008,전체,제주,3182,96,4792
2008,1월,서울,2607,38,3819
2008,1월,부산,699,19,1045
2008,1월,대구,1052,24,1573
2008,1월,인천,760,13,1209
2008,1월,광주,568,10,926
2008,1월,대전,397,15,632
2008,1월,울산,348,11,494
2008,1월,경기,2927,85,4886
2008,1월,강원,551,25,1031
2008,1월,충북,599,14,1017
2008,1월,충남,536,35,891
2008,1월,전북,663,34,1142
2008,1월,전남,684,34,1195
2008,1월,경북,1128,48,1835
2008,1월,경남,980,34,1470
2008,1월,제주,242,5,357
2008,2월,서울,2562,32,3923
2008,2월,부산,676,15,1032
2008,2월,대구,925,14,1425
2008,2월,인천,746,13,1207
2008,2월,광주,536,10,903
2008,2월,대전,368,7,578
2008,2월,울산,338,3,498
2008,2월,경기,2808,84,4816
2008,2월,강원,561,21,1022
2008,2월,충북,556,19,987
2008,2월,충남,515,36,990
2008,2월,전북,621,24,1112
2008,2월,전남,719,38,1261
2008,2월,경북,1086,62,1711
2008,2월,경남,932,42,1454
2008,2월,제주,227,8,363
2008,3월,서울,3189,44,4636
2008,3월,부산,803,21,1158
2008,3월,대구,1090,20,1648
2008,3월,인천,861,23,1304
2008,3월,광주,628,7,1058
2008,3월,대전,426,8,694
2008,3월,울산,420,5,627
2008,3월,경기,3297,98,5353
2008,3월,강원,625,22,1066
2008,3월,충북,657,22,1128
2008,3월,충남,633,38,1124
2008,3월,전북,773,31,1230
2008,3월,전남,798,45,1350
2008,3월,경북,1220,59,1851
2008,3월,경남,1057,52,1636
2008,3월,제주,275,7,421
2008,4월,서울,3399,44,4952
2008,4월,부산,891,17,1306
2008,4월,대구,1121,20,1561
2008,4월,인천,851,10,1320
2008,4월,광주,646,9,1028
2008,4월,대전,410,9,631
2008,4월,울산,420,6,647
2008,4월,경기,3361,89,5501
2008,4월,강원,634,15,1039
2008,4월,충북,671,26,1104
2008,4월,충남,673,37,1107
2008,4월,전북,821,30,1364
2008,4월,전남,847,41,1442
2008,4월,경북,1342,68,2017
2008,4월,경남,1157,50,1884
2008,4월,제주,254,5,461
2008,5월,서울,3838,36,5413
2008,5월,부산,1142,19,1764
2008,5월,대구,1272,21,1900
2008,5월,인천,922,13,1431
2008,5월,광주,785,16,1318
2008,5월,대전,479,8,748
2008,5월,울산,447,8,669
2008,5월,경기,3639,103,6008
2008,5월,강원,748,19,1353
2008,5월,충북,697,29,1167
2008,5월,충남,799,42,1411
2008,5월,전북,914,33,1487
2008,5월,전남,952,43,1657
2008,5월,경북,1333,48,2135
2008,5월,경남,1307,45,2076
2008,5월,제주,241,10,398
