시점,월별,요일별,도로종류별,사고건수,사망자수,부상자수
2005,9월,금,군도,130,8,169
2005,9월,금,고속국도,65,7,123
2005,9월,금,기타/불명,195,0,259
2005,9월,토,일반국도,445,33,795
2005,9월,토,지방도,193,19,313
2005,9월,토,특별광역시도,943,17,1472
2005,9월,토,시도,681,17,1088
2005,9월,토,군도,116,9,169
2005,9월,토,고속국도,55,1,163
2005,9월,토,기타/불명,159,2,225
2005,10월,일,일반국도,584,35,1216
2005,10월,일,지방도,224,13,424
2005,10월,일,특별광역시도,1055,28,1762
2005,10월,일,시도,762,12,1289
2005,10월,일,군도,157,7,262
2005,10월,일,고속국도,84,12,256
2005,10월,일,기타/불명,152,5,219
2005,10월,월,일반국도,523,36,874
2005,10월,월,지방도,212,14,323
2005,10월,월,특별광역시도,1017,15,1469
2005,10월,월,시도,799,17,1175
2005,10월,월,군도,134,6,204
2005,10월,월,고속국도,54,5,158
2005,10월,월,기타/불명,180,4,269
2005,10월,화,일반국도,466,19,863
2005,10월,화,지방도,161,14,269
2005,10월,화,특별광역시도,939,16,1391
2005,10월,화,시도,677,17,1016
2005,10월,화,군도,92,4,128
2005,10월,화,고속국도,37,4,65
2005,10월,화,기타/불명,152,1,207
2005,10월,수,일반국도,446,25,763
2005,10월,수,지방도,193,14,299
2005,10월,수,특별광역시도,858,14,1246
2005,10월,수,시도,634,10,890
2005,10월,수,군도,106,5,156
2005,10월,수,고속국도,40,2,86
2005,10월,수,기타/불명,156,3,213
2005,10월,목,일반국도,413,28,722
2005,10월,목,지방도,166,17,244
2005,10월,목,특별광역시도,888,18,1291
2005,10월,목,시도,648,20,931
2005,10월,목,군도,107,4,153
2005,10월,목,고속국도,38,4,90
2005,10월,목,기타/불명,135,2,187
2005,10월,금,일반국도,479,37,812
2005,10월,금,지방도,199,12,328
2005,10월,금,특별광역시도,956,13,1480
2005,10월,금,시도,838,12,1184
2005,10월,금,군도,101,3,188
2005,10월,금,고속국도,39,1,96
2005,10월,금,기타/불명,153,1,224
2005,10월,토,일반국도,615,35,1148
2005,10월,토,지방도,269,17,498
2005,10월,토,특별광역시도,1335,20,2083
2005,10월,토,시도,1042,17,1698
2005,10월,토,군도,151,10,203
2005,10월,토,고속국도,90,6,249
2005,10월,토,기타/불명,201,5,296
2005,11월,일,일반국도,435,19,931
2005,11월,일,지방도,178,13,350
2005,11월,일,특별광역시도,945,20,1593
2005,11월,일,시도,638,18,1088
2005,11월,일,군도,105,5,156
2005,11월,일,고속국도,56,2,340
2005,11월,일,기타/불명,122,2,196
2005,11월,월,일반국도,476,16,818
2005,11월,월,지방도,191,13,334
2005,11월,월,특별광역시도,912,19,1314
2005,11월,월,시도,618,20,870
2005,11월,월,군도,103,1,126
2005,11월,월,고속국도,56,7,133
2005,11월,월,기타/불명,155,0,216
2005,11월,화,일반국도,531,28,882
2005,11월,화,지방도,221,11,323
2005,11월,화,특별광역시도,1131,13,1702
2005,11월,화,시도,869,14,1265
2005,11월,화,군도,128,10,164
2005,11월,화,고속국도,43,4,88
2005,11월,화,기타/불명,184,5,249
2005,11월,수,일반국도,502,34,792
2005,11월,수,지방도,227,11,368
2005,11월,수,특별광역시도,1132,16,1671
2005,11월,수,시도,875,20,1322
2005,11월,수,군도,136,4,183
2005,11월,수,고속국도,37,6,82
2005,11월,수,기타/불명,173,1,256
2005,11월,목,일반국도,412,25,750
2005,11월,목,지방도,165,15,257
2005,11월,목,특별광역시도,881,21,1289
2005,11월,목,시도,697,7,979
2005,11월,목,군도,101,7,136
2005,11월,목,고속국도,39,3,83
2005,11월,목,기타/불명,136,5,177
2005,11월,금,일반국도,465,26,807
2005,11월,금,지방도,172,12,276
2005,11월,금,특별광역시도,973,14,1448
2005,11월,금,시도,756,13,1146
2005,11월,금,군도,100,10,125
2005,11월,금,고속국도,44,2,94
2005,11월,금,기타/불명,170,0,229
2005,11월,토,일반국도,499,26,964
2005,11월,토,지방도,179,15,351
2005,11월,토,특별광역시도,1048,13,1567
2005,11월,토,시도,783,15,1245
2005,11월,토,군도,113,10,173
2005,11월,토,고속국도,71,1,194
2005,11월,토,기타/불명,146,2,235
